,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short
129,Beth,Simmons,NA,Harvard University ,https://www.harvard.edu/,harvard.edu,University of Pennsylvania,http://upenn.edu,upenn.edu
130,Alex,Stein,NA,Cardozo Law School,https://cardozo.yu.edu/,cardozo.yu.edu,Brooklyn Law School,http://northwestern.edu,northwestern.edu
131,Elizabeth,Trujillo,NA,Suffolk University,http://suffolk.edu,suffolk.edu,Texas A&M University,http://tamu.edu,tamu.edu
132,Steve,Vladeck,NA,American University,http://american.edu,american.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu
133,Gina,Warren,NA,Texas A&M University,http://tamu.edu,tamu.edu,University of Houston,www.uh.edu/,uh.edu
134,Melissa,Wasserman,NA,University of Illinois,http://illinois.edu,illinois.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu
135,Ellen,Yaroshefsky,NA,Cardozo Law School,https://cardozo.yu.edu/,cardozo.yu.edu,Hofstra University,http://hofstra.edu,hofstra.edu
136,Owen,Anderson,NA,"University of Oklahoma, Norman",www.ou.edu/,ou.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu
137,Ann,Bartow,NA,Pace University,http://pace.edu,pace.edu,University of New Hampshire,http://unh.edu,unh.edu
138,Thomas,Brennan,NA,Northwestern University,http://northwestern.edu,northwestern.edu,Harvard University,http://harvard.edu,harvard.edu
139,Aaron,Bruhl,NA,University of Houston,www.uh.edu/,uh.edu,College of William & Mary,https://wustl.edu/,wustl.edu
140,Christopher,Buccafusco,NA,Chicago-Kent College of Law,www.uh.edu/,uh.edu,Cardozo Law School,https://cardozo.yu.edu/,cardozo.yu.edu
141,Irene,Calboli,NA,Marquette University,http://marquette.edu,marquette.edu,Texas A&M University,http://tamu.edu,tamu.edu
142,William,Dodge,NA,"University of California, Hastings",https://www.uchastings.edu/,uchastings.edu,"University of California, Davis",http://ucdavis.edu,ucdavis.edu
143,Susan,Fortney,NA,Hofstra University,http://hofstra.edu,hofstra.edu,Texas A&M University,http://tamu.edu,tamu.edu
144,Brian,Galle,NA,Boston College,http://bc.edu,bc.edu,Georgetown University,http://georgetown.edu,georgetown.edu
145,Nuno,Garoupa,NA,University of Illinois,http://illinois.edu,illinois.edu,Texas A&M University,http://tamu.edu,tamu.edu
146,C. Scott,Hemphill,NA,Columbia University,http://columbia.edu,columbia.edu,New York University,http://nyu.edu,nyu.edu
147,Robert,Jerry,NA,"University of Florida, Gainesville",www.ufl.edu/,ufl.edu,"University of Missouri, Columbia",https://missouri.edu/,missouri.edu
148,Sonia,Katyal,NA,Fordham University,http://fordham.edu,fordham.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu
149,Daniel,Katz,NA,Michigan State University,http://msu.edu,msu.edu,Chicago-Kent College of Law,www.uh.edu/,uh.edu
150,Charlotte,Ku,NA,University of Illinois,http://illinois.edu,illinois.edu,Texas A&M University,http://tamu.edu,tamu.edu
