,Unnamed: 0,First Name,Last Name,Title,School,School URL,School URL short,id
287,287,Alyssa,King,,Queen's,https://www.queensu.ca/,queensu,9198
288,288,Jennifer,Levine,,Quinnipiac,https://www.qu.edu/,qu,1262
289,289,Alex G.,Sinha,,Quinnipiac,https://www.qu.edu/,qu,1742
290,290,Luke,Norris,,Richmond,https://www.richmond.edu/,richmond,5606
291,291,Hayes,Holderness,,Richmond,https://www.richmond.edu/,richmond,5575
292,292,Daniel,Schaffa,,Richmond,https://www.richmond.edu/,richmond,8919
293,293,Jud,Campbell,,Richmond,https://www.richmond.edu/,richmond,7153
294,294,Erin,Collins,,Richmond,https://www.richmond.edu/,richmond,6807
295,295,Paul,Crane,,Richmond,https://www.richmond.edu/,richmond,4122
296,296,Allison Anna,Tait,,Richmond,https://www.richmond.edu/,richmond,9853
297,297,CJ,Ryan,,Roger Williams,https://www.rwu.edu/,rwu,4384
298,298,Adnan,Zulfiqar,,Rutgers,https://www.rutgers.edu/,rutgers,2108
299,299,Alexis,Karteron,,Rutgers (Camden),https://www.camden.rutgers.edu/,camden.rutgers,217
300,300,Kirsten,Nussbaumer,,Rutgers (Camden),https://www.camden.rutgers.edu/,camden.rutgers,4705
301,301,Jacob Hale,Russell,,Rutgers (Camden),https://www.camden.rutgers.edu/,camden.rutgers,3726
302,302,Tracey M.,Roberts,,Samford (Cumberland),https://www.samford.edu/cumberlandlaw/,samford,454
303,303,Ariel,Stevenson,,San Diego,https://www.sandiego.edu/,sandiego,6949
304,304,James,Binnall,,Savannah,https://www.savannahstate.edu/,savannahstate,7966
305,305,Vinay,Harpalani,,Savannah,https://www.savannahstate.edu/,savannahstate,4716
306,306,Katherine,Moore,,Seton Hall,https://www.shu.edu/,shu,625
307,307,Wendy,Salkin,,SF State,https://www.sfsu.edu/,sfsu,3067
308,308,Hillel,Bavli,,SMU,https://www.smu.edu/,smu,8393
309,309,Natalie,Nanasi,,SMU,https://www.smu.edu/,smu,5648
310,310,Jesse,Cross,,South Carolina,https://www.sc.edu/,sc,4563
311,311,Clint,Wallace,,South Carolina,https://www.sc.edu/,sc,3309
312,312,Annie,Eisenberg,,South Carolina,https://www.sc.edu/,sc,2143
313,313,Sheldon,Welton,,South Carolina,https://www.sc.edu/,sc,5533
314,314,Bryant Walker,Smith,,South Carolina,https://www.sc.edu/,sc,2214
315,315,Kevin,Haeberle,,South Carolina,https://www.sc.edu/,sc,4160
316,316,Marie,Boyd,,South Carolina,https://www.sc.edu/,sc,1890
317,317,Nathan,Richardson,,South Carolina,https://www.sc.edu/,sc,2950
318,318,Seth,Stoughton,,South Carolina,https://www.sc.edu/,sc,1490
319,319,Tessa,Davis,,South Carolina,https://www.sc.edu/,sc,4127
320,320,Hannah,Haksgaard,,South Dakota,https://www.usd.edu/,usd,4784
321,321,Rachel,VanLandingham,,Southwestern,https://www.southwestern.edu/,southwestern,9544
322,322,Sheldon,Evans,,St. John's,https://www.stjohns.edu/,stjohns,5538
323,323,Kate,Klonick,,St. John's,https://www.stjohns.edu/,stjohns,67
324,324,Lauren,Roth,,St. John's,https://www.stjohns.edu/,stjohns,6859
325,325,Kate,Levine,,St. John's,https://www.stjohns.edu/,stjohns,512
326,326,Ana Santos,Rutschman,,St. Louis,https://www.slu.edu/,slu,4912
327,327,Rachel,Moran,,St. Thomas (Minnesota),https://www.stthomas.edu/,stthomas,3839
328,328,Colleen,Honigsberg,,Stanford,https://www.stanford.edu/,stanford,915
329,329,Gregory,Ablavsky,,Stanford,https://www.stanford.edu/,stanford,899
330,330,Rabia,Belt,,Stanford,https://www.stanford.edu/,stanford,6427
331,331,Jacob,Goldin,,Stanford,https://www.stanford.edu/,stanford,1192
332,332,Lisa Larrimore,Ouellette,,Stanford,https://www.stanford.edu/,stanford,7858
333,333,Christina,Miller,,Suffolk,https://www.suffolk.edu/,suffolk,2924
334,334,Rene,Reyes,,Suffolk,https://www.suffolk.edu/,suffolk,8467
335,335,Erin,Braatz,,Suffolk,https://www.suffolk.edu/,suffolk,5100
336,336,Christine Pedigo,Bartholomew,,SUNY Buffalo,https://www.suny.edu/campuses/buffalo/,suny,521
337,337,Joshua,Andresen,,Surrey,https://www.surrey.ac.uk/,surrey,2448
338,338,Stephen,Bero,,Surrey,https://www.surrey.ac.uk/,surrey,8522
339,339,Stephen,Nyak-Young,,Surrey,https://www.surrey.ac.uk/,surrey,6121
